School ID, School Name, Network, Governance, School Type, Community Area, Total, White, African American, Native American or Alaskan, Hispanic, Multi-Racial, Asian, Hawaiian or Pacific Islander
609749, NORTHSIDE PREP HS, Network 14, District, Traditional, NORTH PARK, 1042, 399, 58, 4, 298, 41, 218, 8
610051, NORTHWEST, Network 3, District, Traditional, BELMONT CRAGIN, 479, 10, 15, 2, 449, 1, 2, 0
610599, Northwest ECC, Network 1, District, Early Childhood, PORTAGE PARK, 70, 30, 2, 0, 26, 7, 3, 0
610099, NORWOOD PARK, Network 1, District, Traditional, NORWOOD PARK, 339, 185, 1, 1, 122, 16, 14, 0
610101, OGDEN ES, Network 15, District, Traditional, NEAR NORTH SIDE, 866, 213, 408, 2, 110, 52, 70, 0
610529, OGDEN HS, Network 15, District, Traditional, WEST TOWN, 494, 61, 232, 2, 175, 12, 11, 1
610102, OGLESBY, Network 11, District, Traditional, AUBURN GRESHAM, 268, 0, 262, 0, 4, 1, 0, 1
610103, OKEEFFE, Network 12, District, Traditional, SOUTH SHORE, 485, 2, 460, 0, 18, 4, 0, 1
610104, ONAHAN, Network 1, District, Traditional, NORWOOD PARK, 656, 397, 16, 3, 195, 22, 22, 0
610105, ORIOLE PARK, Network 1, District, Traditional, NORWOOD PARK, 597, 357, 10, 2, 168, 16, 43, 1
610329, OROZCO, Network 7, District, Traditional, LOWER WEST SIDE, 281, 2, 1, 0, 277, 0, 1, 0
610389, ORR HS, Network 15, District, Traditional, HUMBOLDT PARK, 228, 4, 174, 0, 46, 4, 0, 0
609950, ORTIZ DE DOMINGUEZ, Network 7, District, Traditional, SOUTH LAWNDALE, 392, 0, 2, 0, 388, 0, 2, 0
610107, OTIS, Network 6, District, Traditional, WEST TOWN, 318, 17, 102, 1, 185, 5, 7, 1
610108, OTOOLE, Network 11, District, Traditional, WEST ENGLEWOOD, 323, 5, 246, 1, 71, 0, 0, 0
610109, OWEN, Network 10, District, Traditional, ASHBURN, 274, 0, 268, 0, 4, 2, 0, 0
609943, OWENS, Network 13, District, Traditional, WEST PULLMAN, 340, 4, 314, 0, 14, 1, 0, 0
610111, PALMER, ISP, District, Traditional, ALBANY PARK, 731, 252, 16, 1, 312, 24, 117, 9
610115, PARK MANOR, Network 12, District, Traditional, GREATER GRAND CROSSING, 263, 1, 258, 0, 4, 0, 0, 0
610112, PARKER, Network 11, District, Traditional, ENGLEWOOD, 348, 0, 343, 0, 4, 1, 0, 0
610116, PARKSIDE, Network 12, District, Traditional, SOUTH SHORE, 234, 0, 226, 0, 7, 0, 0, 0
610117, PASTEUR, Network 8, District, Traditional, WEST ELSDON, 580, 11, 10, 2, 553, 4, 0, 0
609680, PAYTON HS, Network 15, District, Traditional, NEAR NORTH SIDE, 1230, 464, 110, 2, 299, 48, 301, 6
610386, PEACE AND EDUCATION HS, ISP, District, Options, NEW CITY, 131, 0, 38, 0, 92, 1, 0, 0
610120, PECK, ISP, District, Traditional, WEST ELSDON, 799, 14, 9, 0, 775, 1, 0, 0
610122, PEIRCE, ISP, District, Traditional, EDGEWATER, 1062, 496, 86, 8, 337, 85, 49, 1
610123, PENN, Network 7, District, Traditional, NORTH LAWNDALE, 223, 1, 205, 1, 16, 0, 0, 0
609872, PEREZ, Network 7, District, Traditional, LOWER WEST SIDE, 258, 5, 6, 0, 241, 0, 6, 0
610126, PERSHING, Network 9, District, Traditional, DOUGLAS, 438, 4, 414, 0, 14, 3, 2, 0
610127, PETERSON, Network 1, District, Traditional, NORTH PARK, 840, 252, 62, 3, 292, 33, 182, 0
609727, PHILLIPS HS, Network 17, District, Traditional, DOUGLAS, 457, 1, 404, 0, 7, 1, 0, 0
